HL_len,HL_wid,LL_len,LL_wid
26.5,3.20,24.4,3.86
26.8,3.24,24.5,4.425
24.7,3.27,27.3,4.425
29.8,3.36,25.8,5.034
28.3,3.54,26.7,4.716
23.9,3.56,27.2,3.876
23.6,3.61,21.0,4.178
24.8,3.62,21.0,3.508
25.3,3.64,28.0,3.538
26.5,3.71,19.6,4.123
28.2,3.72,19.2,3.451
28.6,3.78,28.7,4.745
30.7,3.78,29.1,4.429
22.9,3.82,26.4,3.874
23.0,3.86,27.4,4.417
28.8,4.00,23.3,4.618
27.9,4.02,23.1,4.658
26.3,4.10,23.8,4.066
26.9,4.11,33.2,3.686
29.0,4.18,25.8,3.967
27.8,4.22,27.1,3.873
26.8,4.24,22.3,4.129
30.9,4.25,23.2,4.007
21.7,4.26,21.6,5.053
26.3,4.27,23.1,4.321
31.1,4.28,24.7,4.982
23.1,4.29,22.3,4.098
22.8,4.29,22.6,3.941
21.4,4.30,26.8,4.327
21.7,4.33,22.3,4.162
24.8,4.33,24.7,3.843
25.2,4.34,24.9,3.91
28.3,4.34,24.5,3.117
27.7,4.38,23.9,3.385
21.4,4.41,20.6,3.385
29.2,4.46,21.6,4.541
25.7,4.47,25.6,3.57
24.2,4.48,24.9,3.948
24.6,4.48,25.6,4.989
29.0,4.49,27.8,4.775
29.4,4.49,26.1,5.0
24.9,4.51,26.8,5.1
24.8,4.51,26.8,4.8
28.2,4.52,27.5,4.7
28.5,4.53,26.9,5.1
26.2,4.53,28.3,4.2
25.5,4.54,,
23.8,4.58,,
31.2,4.61,,
25.3,4.63,,
29.8,4.65,,
27.2,4.65,,
28.4,4.73,,
26.0,4.75,,
26.8,4.79,,
22.3,4.79,,
22.3,4.80,,
33.0,4.83,,
25.2,4.86,,
25.1,4.94,,
26.4,5.00,,
27.7,5.04,,
24.7,5.13,,
25.0,5.26,,
25.9,5.32,,
23.9,5.37,,
23.8,5.39,,
26.6,5.70,,
26.8,4.18,,
28.3,3.95,,
28.5,4.48,,
27.1,4.33,,
20.7,5.23,,
25.6,4.68,,
27.7,4.29,,
20.8,3.72,,
26.1,3.71,,
27.2,4.30,,
25.0,4.18,,
26.0,4.11,,
22.8,3.56,,
29.1,3.64,,
29.6,4.17,,
27.7,4.17,,
26.1,3.95,,
24.8,4.52,,
25.0,3.93,,
28.2,4.55,,
26.8,4.91,,
26.5,4.13,,
28.2,4.41,,
23.3,4.47,,
29.0,5.02,,
27.1,4.38,,
