wavelength,rel_height
400,0.000308507
401,0.00059072
402,0.0017221
403,0.003581029
404,0.004779294
405,0.001597512
406,0.001246126
407,0.000753977
408,0.000332314
409,0.000369028
410,0.000405741
411,0.000442455
412,0.000479169
413,0.000515882
414,0.000575372
415,0.000634862
416,0.000694352
417,0.000753842
418,0.000813332
419,0.000872822
420,0.000932312
421,0.001013448
422,0.001094583
423,0.001175718
424,0.001256854
425,0.001349685
426,0.001442515
427,0.001535346
428,0.001628177
429,0.001744555
430,0.001860934
431,0.001977312
432,0.00368364
433,0.005601061
434,0.019728708
435,0.025107972
436,0.013786389
437,0.013364516
438,0.002884793
439,0.002837279
440,0.002789765
441,0.002913748
442,0.003037732
443,0.003161716
444,0.003168815
445,0.003175914
446,0.003183013
447,0.003190113
448,0.003197212
449,0.003204311
450,0.003234801
451,0.003265291
452,0.003295781
453,0.003326271
454,0.003356761
455,0.003387251
456,0.00335728
457,0.003327309
458,0.003297338
459,0.003267367
460,0.003237396
461,0.003207425
462,0.003177453
463,0.003147482
464,0.003125993
465,0.003104503
466,0.003083014
467,0.003061524
468,0.003040034
469,0.003018545
470,0.002997055
471,0.002975566
472,0.002954076
473,0.002969042
474,0.002984008
475,0.002998974
476,0.00301394
477,0.003028906
478,0.003043872
479,0.003167925
480,0.003291979
481,0.003416032
482,0.00439761
483,0.00542576
484,0.007015709
485,0.008044487
486,0.008301263
487,0.008558039
488,0.007574578
489,0.006544753
490,0.006372592
491,0.006200431
492,0.005045227
493,0.004701534
494,0.00435784
495,0.004014147
496,0.003748423
497,0.003482699
498,0.003216975
499,0.002982124
500,0.002747274
501,0.002699812
502,0.00265235
503,0.002604888
504,0.002557426
505,0.002575553
506,0.002593679
507,0.002611806
508,0.002629933
509,0.002648059
510,0.002656704
511,0.002665348
512,0.002673993
513,0.002682638
514,0.002691282
515,0.002655411
516,0.00261954
517,0.002583669
518,0.002547798
519,0.002453502
520,0.002359206
521,0.00226491
522,0.002170614
523,0.00207637
524,0.001982127
525,0.001887883
526,0.001793639
527,0.00174623
528,0.00169882
529,0.001651411
530,0.001604001
531,0.001685136
532,0.001766272
533,0.001847407
534,0.001928542
535,0.002629639
536,0.003330737
537,0.00445245
538,0.006042399
539,0.012076817
540,0.017642999
541,0.026063491
542,0.030554113
543,0.028214192
544,0.028166364
545,0.032095606
546,0.03939271
547,0.02395392
548,0.016702132
549,0.01150832
550,0.00753104
551,0.006735333
552,0.004722884
553,0.003880186
554,0.002008082
555,0.001656696
556,0.00130531
557,0.001140737
558,0.000976164
559,0.000811591
560,0.000647017
561,0.000584014
562,0.00052101
563,0.000458007
564,0.000395003
565,0.000332
566,0.000268996
567,0.000258887
568,0.000248777
569,0.000238667
570,0.000228557
571,0.000218447
572,0.0005101
573,0.000801753
574,0.001093406
575,0.003256326
576,0.003411776
577,0.003567227
578,0.003722677
579,0.003534504
580,0.003253186
581,0.002971868
582,0.00353262
583,0.004373644
584,0.004185784
585,0.003997925
586,0.00437176
587,0.002827127
588,0.002686154
589,0.002545181
590,0.002404208
591,0.002824615
592,0.003081287
593,0.003337958
594,0.001652562
595,0.001464703
596,0.001276843
597,0.00149453
598,0.001712216
599,0.001929903
600,0.001555126
601,0.001180349
602,0.000922318
603,0.000664286
604,0.000834981
605,0.001005677
606,0.001176373
607,0.00215816
608,0.003280501
609,0.007115971
610,0.013009624
611,0.024470716
612,0.01918334
613,0.010293985
614,0.009287656
615,0.005240099
616,0.00378903
617,0.003087095
618,0.002571869
619,0.002758263
620,0.002944657
621,0.003013992
622,0.003083328
623,0.003199549
624,0.003315771
625,0.003221475
626,0.003127179
627,0.00284607
628,0.002564961
629,0.003078513
630,0.00373262
631,0.002796358
632,0.001953869
633,0.001204735
634,0.00073629
635,0.000501649
636,0.000267008
637,0.000235088
638,0.000203167
639,0.000171247
640,0.000139326
641,0.000107406
642,7.55E-05
643,9.35E-05
644,0.000111571
645,0.000129614
646,0.000147657
647,0.0001657
648,0.000375485
649,0.00058527
650,0.000678101
651,0.000770931
652,0.000606463
653,0.000441994
654,0.000394515
655,0.000347036
656,0.000299556
657,0.000252077
658,0.000204597
659,0.000157118
660,0.000168029
661,0.000178939
662,0.00018985
663,0.00020076
664,0.000195433
665,0.000190106
666,0.000184779
667,0.000179452
668,0.000174125
669,0.000168798
670,0.000163471
671,0.000158144
672,0.000152817
673,0.00014749
674,0.000142495
675,0.0001375
676,0.000132505
677,0.00012751
678,0.000122515
679,0.00011752
680,0.000112525
681,0.00010753
682,0.000102535
683,9.75E-05
684,9.25E-05
685,0.000150446
686,0.000208348
687,0.000266249
688,0.000324151
689,0.000206464
690,8.88E-05
691,8.81E-05
692,8.74E-05
693,8.68E-05
694,8.61E-05
695,8.54E-05
696,7.30E-05
697,6.06E-05
698,4.82E-05
699,3.58E-05
700,2.34E-05
